,title,artist,release,metascore,userscore
408,Quality Control,by Jurassic 5,"June 6, 2000",77,8.2
409,White People,by Handsome Boy Modeling School,"November 9, 2004",66,8.2
410,Copper Gone,by Sage Francis,"June 3, 2014",64,8.2
411,Fever,by Black Milk,"February 23, 2018",80,8.2
412,Masquerade,by Wyclef Jean,"June 18, 2002",60,8.2
413,The Preacher's Son,by Wyclef Jean,"November 4, 2003",61,8.2
414,Honkey Kong,by Apathy,"August 23, 2011",82,8.2
415,Ohio,by Stalley,"October 28, 2014",79,8.2
416,The Show,by eMC,"March 25, 2008",77,8.2
417,WLIB AM: King Of The Wigflip,by Madlib,"September 30, 2008",72,8.2
418,Quakers,by Quakers,"March 26, 2012",80,8.2
419,Russian Roulette,by The Alchemist,"July 17, 2012",76,8.2
420,Music for My Friends,by Skyzoo,"June 23, 2015",81,8.2
421,August Greene,by August Greene,"March 9, 2018",72,8.2
422,Czarface Meets Ghostface,by Czarface,"February 15, 2019",72,8.2
423,Graduation,by Kanye West,"September 11, 2007",79,8.1
424,The Pinkprint,by Nicki Minaj,"December 15, 2014",70,8.1
425,All-Amerikkkan Bada$$,by Joey Bada$$,"April 7, 2017",75,8.1
426,Tha Carter V,by Lil Wayne,"September 28, 2018",72,8.1
427,B4.DA.$$,by Joey Bada$$,"January 20, 2015",75,8.1
428,The Incredible True Story,by Logic,"November 13, 2015",75,8.1
429,Year Of The Snitch,by Death Grips,"June 22, 2018",69,8.1
430,JEFFERY [Mixtape],by Young Thug,"August 26, 2016",82,8.1
431,Post Traumatic,by Mike Shinoda,"June 15, 2018",73,8.1
432,Xen,by Arca,"November 4, 2014",79,8.1
433,Live from the Underground,by Big K.R.I.T.,"June 5, 2012",78,8.1
434,Godfather,by Wiley,"January 13, 2017",84,8.1
435,Redemption,by Jay Rock,"June 15, 2018",81,8.1
436,White Men Are Black Men Too,by Young Fathers,"April 7, 2015",83,8.1
437,Devil's Night,by D12,"June 19, 2001",58,8.1
438,Eve,by Rapsody,"August 23, 2019",90,8.1
439,Nothing Great About Britain,by slowthai,"May 17, 2019",82,8.1
440,Slime Season 3 [Mixtape],by Young Thug,"March 25, 2016",76,8.1
441,Splendor & Misery,by clipping.,"September 9, 2016",76,8.1
442,Follow Me Home,by Jay Rock,"July 26, 2011",73,8.1
443,Not All Heroes Wear Capes,by Metro Boomin,"December 7, 2018",78,8.1
444,Apollo Kids,by Ghostface Killah,"December 21, 2010",84,8.1
445,36 Seasons,by Ghostface Killah,"December 9, 2014",72,8.1
446,Quality,by Talib Kweli,"November 19, 2002",79,8.1
447,Vacation in Hell,by Flatbush Zombies,"April 6, 2018",79,8.1
448,Malibu Ken,by Malibu Ken,"January 18, 2019",76,8.1
449,Blackout! 2,by Method Man & Redman,"May 19, 2009",79,8.1
450,Victory Lap,by Nipsey Hussle,"February 16, 2018",80,8.1
451,Til The Casket Drops,by Clipse,"December 8, 2009",64,8.1
452,Paid Tha Cost To Be Da Boss,by Snoop Dogg,"November 26, 2002",76,8.1
453,Slaughterhouse,by Slaughterhouse,"August 11, 2009",69,8.1
454,Pattern + Grid World,by Flying Lotus,"September 21, 2010",82,8.1
455,Layers,"by Royce da 5'9""","April 15, 2016",77,8.1
456,What Does It All Mean? 1983-2006 Retrospective,by Steinski,"May 27, 2008",86,8.1
457,W.A.R. (We Are Renegades),by Pharoahe Monch,"March 22, 2011",77,8.1
458,Genesis,by Busta Rhymes,"November 13, 2001",77,8.1
459,Murs For President,by Murs,"September 30, 2008",74,8.1
460,Freebase [EP],by 2 Chainz,"May 5, 2014",75,8.1
461,2000 BC,by Canibus,"July 18, 2000",60,8.1
462,Revolutions Per Minute,by Reflection Eternal,"May 18, 2010",80,8.1
463,Hoodies All Summer,by Kano,"August 30, 2019",79,8.1
464,Mysterious Phonk: The Chronicles of Spaceghostpurrp,by SpaceGhostPurrp,"June 12, 2012",69,8.1
465,P2,by Dave East,"January 16, 2018",83,8.1
466,Soft Money,by Jel,"February 28, 2006",67,8.1
467,This Is Our Science,by Astronautalis,"September 13, 2011",85,8.1
468,RetroHash,by Asher Roth,"April 22, 2014",63,8.1
469,Chamber Music,by Wu-Tang Clan,"June 30, 2009",75,8.1
470,Give Me My Flowers While I Can Still Smell Them,by Blu & Exile,"September 4, 2012",76,8.1
471,Black Focus,by Yussef Kamaal,"November 11, 2016",82,8.1
472,The In Crowd,by Kidz in the Hall,"May 13, 2008",73,8.1
473,"Maybach Music Group Presents: Self Made, Vol. 1",by Maybach Music,"May 23, 2011",63,8.1
474,Lip Lock,by Eve,"May 14, 2013",62,8.1
475,Who Told You To Think?,by Milo,"August 11, 2017",84,8.1
476,Astroworld,by Travis Scott,"August 3, 2018",85,8.0
477,Take Care,by Drake,"November 15, 2011",78,8.0
478,Psychodrama,by Dave,"March 8, 2019",90,8.0
479,ZUU,by Denzel Curry,"May 31, 2019",85,8.0
480,FM!,by Vince Staples,"November 2, 2018",81,8.0
481,I Am > I Was,by 21 Savage,"December 21, 2018",81,8.0
482,The Documentary 2.5,by The Game,"October 16, 2015",79,8.0
483,UNLOCKED,by Denzel Curry,"February 7, 2020",81,8.0
484,Ratchet,by Shamir,"May 19, 2015",80,8.0
485,Confessions,by Usher,"March 23, 2004",71,8.0
486,Who Needs Actions When You Got Words,by Plan B,"June 26, 2006",74,8.0
487,Revenge of the Dreamers III,by Dreamville,"July 5, 2019",77,8.0
488,Injury Reserve,by Injury Reserve,"May 17, 2019",75,8.0
489,Neō Wax Bloom,by Iglooghost,"September 29, 2017",83,8.0
490,Limbo,by Aminé,"August 7, 2020",75,8.0
491,Till Death Do Us Part,by Cypress Hill,"March 23, 2004",62,8.0
492,TWENTY88 [EP],by Twenty88,"April 1, 2016",72,8.0
493,The Don of Diamond Dreams,by Shabazz Palaces,"April 17, 2020",77,8.0
494,Rare Chandeliers [Mixtape],by Action Bronson,"November 15, 2012",74,8.0
495,The  Diary,by J Dilla,"April 15, 2016",73,8.0
496,The Family Sign,by Atmosphere,"April 12, 2011",73,8.0
497,At What Cost,by GoldLink,"March 24, 2017",71,8.0
498,Good Luck and Do Your Best,by Gold Panda,"May 27, 2016",79,8.0
499,Strength & Loyalty,by Bone Thugs-N-Harmony,"May 8, 2007",74,8.0
500,How You Sell Soul to a Soulless People Who Sold Their Soul?,by Public Enemy,"August 7, 2007",71,8.0
501,The Hard Way,by 213,"August 17, 2004",56,8.0
502,Adrian Younge Presents: Twelve Reasons to Die II,by Ghostface Killah,"July 10, 2015",72,8.0
503,1988,by Blueprint,"March 29, 2005",83,8.0
504,Weekend at Burnie's,by Curren$y,"June 28, 2011",77,8.0
505,Golden Ticket,by Golden Rules,"August 7, 2015",82,8.0
506,Felt 3: A Tribute To Rosie Perez,by Felt,"November 17, 2009",79,8.0
507,"Streams of Thought, Vol. 1 [EP]",by Black Thought,"June 1, 2018",81,8.0
508,Roadkill Overcoat,by Busdriver,"January 30, 2007",68,8.0
509,What You Gonna Do When the Grid Goes Down?,by Public Enemy,"September 25, 2020",75,8.0
510,Lucky 7,by Statik Selektah,"July 10, 2015",69,8.0
511,Everything Is Beautiful,by Princess Nokia,"February 26, 2020",75,8.0
512,Love & Hate,by Aceyalone,"June 3, 2003",66,8.0
513,Automato,by Automato,"April 20, 2004",74,8.0
514,In Search Of Stoney Jackson,by Strong Arm Steady,"January 27, 2010",75,8.0
515,Ohnomite,by Oh No,"June 5, 2012",81,8.0
516,By Any Means [Mixtape],by Kevin Gates,"March 18, 2014",77,8.0
517,None of Us Are Getting out of This Life Alive,by The Streets,"July 10, 2020",73,8.0
518,The Electric Mile,by G Love & Special Sauce,"April 24, 2001",70,8.0
519,I Love You,by Amanda Blank,"August 4, 2009",59,8.0
520,Winter & the Wolves,by Grieves,"March 25, 2014",58,8.0
521,A Grand Don't Come For Free,by The Streets,"May 18, 2004",91,7.9
522,Iridescence,by BROCKHAMPTON,"September 21, 2018",85,7.9
523,Black Panther: The Album,by Original Soundtrack,"February 9, 2018",80,7.9
524,Ginger,by BROCKHAMPTON,"August 23, 2019",75,7.9
525,Oxnard,by Anderson .Paak,"November 16, 2018",73,7.9
526,Idlewild,by Outkast,"August 22, 2006",72,7.9
527,Do What Thou Wilt.,by Ab-Soul,"December 9, 2016",64,7.9
528,Modus Vivendi,by 070 Shake,"January 17, 2020",80,7.9
529,3001: A Laced Odyssey,by Flatbush Zombies,"March 11, 2016",80,7.9
530,The Tipping Point,by The Roots,"July 13, 2004",72,7.9
531,New Danger,by Mos Def,"October 12, 2004",59,7.9
532,Meow the Jewels,by Run the Jewels,"September 25, 2015",74,7.9
533,The Red Light District,by Ludacris,"December 7, 2004",70,7.9
534,There Existed an Addiction to Blood,by clipping.,"October 18, 2019",73,7.9
535,Freddie [Mixtape],by Freddie Gibbs,"June 22, 2018",84,7.9
536,13 & God,by 13 & God,"May 3, 2005",80,7.9
537,The Iceberg,by Oddisee,"February 24, 2017",82,7.9
538,Nightmare Vacation,by Rico Nasty,"December 4, 2020",80,7.9
539,The Neptunes Present... Clones,by The Neptunes,"August 19, 2003",73,7.9
540,Charity Starts at Home,by Phonte,"September 27, 2011",88,7.9
541,The Defamation Of Strickland Banks,by Plan B,"April 19, 2011",75,7.9
542,Mirrorland,by EarthGang,"September 6, 2019",77,7.9
543,Well-Done,by Statik Selektah,"November 22, 2011",79,7.9
544,Man Vs Machine,by Xzibit,"October 1, 2002",59,7.9
545,Perfect Hair,by Busdriver,"September 9, 2014",74,7.9
546,"Love, War And The Ghost Of Whitey Ford",by Everlast,"September 23, 2008",64,7.9
547,Extended Play,by Statik Selektah,"June 18, 2013",83,7.9
548,Situation,by Buck 65,"October 30, 2007",68,7.9
549,Leave It All Behind,by The Foreign Exchange,"October 14, 2008",82,7.9
550,The Take Over,by Zion I,"January 27, 2009",58,7.9
551,The Audience's Listening,by Cut Chemist,"July 11, 2006",79,7.9
552,"Anime, Trauma and Divorce",by Open Mike Eagle,"October 16, 2020",82,7.9
553,Queen,by Nicki Minaj,"August 10, 2018",70,7.8
554,808s & Heartbreak,by Kanye West,"November 25, 2008",75,7.8
555,Camp,by Childish Gambino,"November 15, 2011",69,7.8
556,Konnichiwa,by Skepta,"May 6, 2016",83,7.8
557,Beautiful Thugger Girls,by Young Thug,"June 16, 2017",84,7.8
558,Legends Never Die,by Juice WRLD,"July 10, 2020",75,7.8
559,So Much Fun,by Young Thug,"August 16, 2019",79,7.8
560,Playboi Carti [Mixtape],by Playboi Carti,"April 14, 2017",69,7.8
561,L.A.X.,by The Game,"August 26, 2008",65,7.8
562,Beg For Mercy,by G-Unit,"November 14, 2003",62,7.8
563,Sour Soul,by Ghostface Killah,"February 24, 2015",76,7.8
564,The Hunger For More,by Lloyd Banks,"June 29, 2004",66,7.8
565,"The OF Tape, Vol. 2",by Odd Future,"March 20, 2012",71,7.8
566,Summer Knights [Mixtape],by Joey Bada$$,"July 1, 2013",66,7.8
567,...And Then You Shoot Your Cousin,by The Roots,"May 19, 2014",70,7.8
568,Fear of God II: Let Us Pray [EP],by Pusha T,"November 8, 2011",69,7.8
569,You Only Live 2wice,by Freddie Gibbs,"March 31, 2017",76,7.8
570,Dead,by Young Fathers,"February 4, 2014",83,7.8
571,Big Baby D.R.A.M.,by D.R.A.M.,"October 21, 2016",80,7.8
572,The Great Gatsby [Music from Baz Luhrmann's Film],by Various Artists,"May 7, 2013",63,7.8
573,Stranger,by Yung Lean,"November 10, 2017",63,7.8
574,"Cozy Tapes, Vol. 1: Friends",by A$AP Mob,"October 31, 2016",78,7.8
575,Disc-Overy,by Tinie Tempah,"May 17, 2011",72,7.8
576,Success Is Certain,"by Royce da 5'9""","August 9, 2011",82,7.8
577,VII,by Teyana Taylor,"November 4, 2014",77,7.8
578,Anger Management,by Rico Nasty,"April 25, 2019",79,7.8
579,Relax,by Das Racist,"September 13, 2011",78,7.8
580,Good Things,by Aloe Blacc,"September 28, 2010",82,7.8
581,The Good Fight,by Oddisee,"May 5, 2015",80,7.8
582,Southsiders,by Atmosphere,"May 6, 2014",70,7.8
583,The Craft,by Blackalicious,"September 27, 2005",80,7.8
584,Wu-Massacre,by Meth-Ghost-Rae,"March 30, 2010",73,7.8
585,Mourning in America and Dreaming in Color,by Brother Ali,"September 18, 2012",80,7.8
586,Extinction Level Event 2: The Wrath of God,by Busta Rhymes,"October 30, 2020",71,7.8
587,Surrounded By Silence,by Prefuse 73,"March 22, 2005",73,7.8
588,Human The Death Dance,by Sage Francis,"May 8, 2007",77,7.8
589,Feel Good,by The Internet,"September 24, 2013",69,7.8
590,The Return,by Sampa the Great,"September 13, 2019",83,7.8
591,Numbers,by MellowHype,"October 9, 2012",73,7.8
592,Moosebumps: An Exploration Into Modern Day Horripilation,by Dr. Octagon,"April 6, 2018",77,7.8
593,Effected,by Cozz,"February 13, 2018",76,7.8
594,A Girl Cried Red [Mixtape],by Princess Nokia,"April 13, 2018",61,7.8
595,The eXXecution,by Marco Polo & Ruste Juxx,"March 23, 2010",85,7.8
596,NoYork!,by Blu,"March 26, 2013",78,7.8
597,A Tiger Dancing,by Heiruspecs,"September 28, 2004",78,7.8
598,Vodka & Ayahuasca,by Gangrene,"January 24, 2012",76,7.8
599,Raw Money Raps,by Jeremiah Jae,"July 24, 2012",79,7.8
600,The Man with the Iron Fists [OST],by RZA,"October 23, 2012",77,7.8
601,No Hard Feelings,by Dreezy,"July 22, 2016",73,7.8
602,"Chill, Dummy",by P.O.S,"January 27, 2017",83,7.8
603,Born 2 Rap,by The Game,"November 29, 2019",82,7.8
604,Burden of Proof,by Benny the Butcher,"October 16, 2020",82,7.8
605,Greatest Story Ever Told,by David Banner,"July 15, 2008",57,7.8
606,GhostDeini The Great,by Ghostface Killah,"December 16, 2008",62,7.8
607,Pray IV Reign,by Jim Jones,"March 24, 2009",62,7.8
608,awE naturalE,by THEESatisfaction,"March 27, 2012",75,7.8
609,All Hands,by Doomtree,"January 27, 2015",62,7.8
610,The Life Of Pablo,by Kanye West,"February 13, 2016",75,7.7
611,Watch the Throne,by Kanye West,"August 12, 2011",76,7.7
612,If You're Reading This It's Too Late [Mixtape],by Drake,"February 13, 2015",78,7.7
613,Circles,by Mac Miller,"January 17, 2020",83,7.7
614,Nasir,by Nas,"June 15, 2018",58,7.7
615,Long.Live.A$AP,by A$AP Rocky,"January 15, 2013",75,7.7
616,Birds In The Trap Sing McKnight,by Travis Scott,"September 2, 2016",64,7.7
617,So Far Gone [Mixtape],by Drake,"February 13, 2009",81,7.7
618,Slay-Z [Mixtape],by Azealia Banks,"March 24, 2016",75,7.7
619,Championships,by Meek Mill,"November 30, 2018",77,7.7
620,PRhyme,by PRhyme,"December 9, 2014",84,7.7
621,Heavy is the Head,by Stormzy,"December 13, 2019",82,7.7
622,Strange Clouds,by B.o.B,"May 1, 2012",65,7.7
623,Lost And Found,by Will Smith,"March 29, 2005",50,7.7
624,Nobody's Smiling,by Common,"July 22, 2014",78,7.7
625,The Lady Killer,by Cee Lo Green,"November 9, 2010",80,7.7
626,The Album About Nothing,by Wale,"March 31, 2015",67,7.7
627,Everybody Looking,by Gucci Mane,"July 22, 2016",72,7.7
628,Savage Mode II,by 21 Savage,"October 2, 2020",81,7.7
629,Slime Season 2 [Mixtape],by Young Thug,"October 31, 2015",81,7.7
630,"Come Over When You’re Sober, Pt. 2",by Lil Peep,"November 9, 2018",79,7.7
631,Straight Outta Ca$hville,by Young Buck,"August 24, 2004",72,7.7
632,Czarface Meets Metal Face,by Czarface/MF Doom,"March 30, 2018",75,7.7
633,"Laugh Now, Cry Later",by Ice Cube,"June 6, 2006",59,7.7
634,Beast Mode [Mixtape],by Future,"January 15, 2015",81,7.7
635,The State vs. Radric Davis,by Gucci Mane,"December 8, 2009",66,7.7
636,The Grind Date,by De La Soul,"October 5, 2004",80,7.7
637,The Beautiful Struggle,by Talib Kweli,"September 28, 2004",66,7.7
638,Pieces of a Man,by Mick Jenkins,"October 26, 2018",77,7.7
639,Fishing Blues,by Atmosphere,"August 12, 2016",71,7.7
640,TM:103 Hustlerz Ambition,by Young Jeezy,"December 20, 2011",70,7.7
641,What Goes Around,by Statik Selektah,"August 19, 2014",84,7.7
642,Hella Personal Film Festival,by Open Mike Eagle,"March 25, 2016",79,7.7
643,Dime Trap,by T.I.,"October 5, 2018",81,7.7
644,The Last Temptation,by Ja Rule,"November 19, 2002",57,7.7
645,Gutter Rainbows,by Talib Kweli,"January 25, 2011",71,7.7
646,The Great Depression,by DMX,"October 23, 2001",62,7.7
647,Abandoned Language,by Dälek,"February 27, 2007",76,7.7
648,Remember My Name,by Lil Durk,"June 2, 2015",61,7.7
649,20/20,by Dilated Peoples,"February 21, 2006",63,7.7
650,Last 2 Walk,by Three 6 Mafia,"June 24, 2008",56,7.7
651,The Music Scene,by Blockhead,"January 12, 2010",75,7.7
652,Cats & Dogs,by Evidence,"September 27, 2011",79,7.7
653,Harlan & Alondra,by Buddy,"July 20, 2018",83,7.7
654,A Little Deeper,by Ms. Dynamite,"March 11, 2003",80,7.7
655,More Heart Than Brains,by Bike For Three!,"May 26, 2009",82,7.7
656,Return Of The Wu & Friends,by Wu-Tang Clan,"February 16, 2010",68,7.7
657,Have a Nice Life,by Murs,"May 19, 2015",75,7.7
658,Nothing Is Quick In The Desert,by Public Enemy,"June 30, 2017",71,7.7
659,Yeezus,by Kanye West,"June 18, 2013",84,7.6
660,Nothing Was the Same,by Drake,"September 24, 2013",79,7.6
661,KOD,by J. Cole,"April 20, 2018",73,7.6
662,Eminem Presents: The Re-Up,by Eminem,"December 5, 2006",50,7.6
663,Hollywood's Bleeding,by Post Malone,"September 6, 2019",79,7.6
664,Cuz I Love You,by Lizzo,"April 19, 2019",84,7.6
665,Cole World: The Sideline Story,by J. Cole,"September 27, 2011",75,7.6
666,The  Heist,by Ryan Lewis,"October 9, 2012",74,7.6
667,90059,by Jay Rock,"September 11, 2015",79,7.6
668,Cruel Summer,by Various Artists,"September 18, 2012",68,7.6
669,Bush,by Snoop Dogg,"May 12, 2015",69,7.6
670,The Documentary 2,by The Game,"October 9, 2015",75,7.6
671,To The 5 Boroughs,by Beastie Boys,"June 15, 2004",71,7.6
672,Vicious Lies and Dangerous Rumors,by Big Boi,"December 11, 2012",72,7.6
673,Suga [EP],by Megan Thee Stallion,"March 6, 2020",77,7.6
674,Amen,by Rich Brian,"February 2, 2018",68,7.6
675,And the Anonymous Nobody,by De La Soul,"August 26, 2016",77,7.6
676,Big Conspiracy,by J Hus,"January 24, 2020",86,7.6
677,Shaolin vs. Wu-Tang,by Raekwon,"March 8, 2011",73,7.6
678,The Wild,by Raekwon,"March 24, 2017",80,7.6
679,Dear Annie,by Rejjie Snow,"February 16, 2018",79,7.6
680,God's Father [Mixtape],by Lil B,"March 7, 2012",75,7.6
681,Cellar Door: Terminus Ut Exordium,by The Underachievers,"August 12, 2014",76,7.6
682,No Poison No Paradise,by Black Milk,"October 15, 2013",78,7.6
683,K.R.I.T. IZ HERE,by Big K.R.I.T.,"July 12, 2019",69,7.6
684,Breakfast,by Chiddy Bang,"February 28, 2012",67,7.6
685,Neva Left,by Snoop Dogg,"May 19, 2017",71,7.6
686,Top 5 Dead or Alive,by Jadakiss,"November 20, 2015",73,7.6
687,Secret House Against The World,by Buck 65,"August 1, 2005",71,7.6
688,Record Collection,by Mark Ronson and the Business Intl,"September 28, 2010",70,7.6
689,Legendary Weapons,by Wu-Tang Clan,"July 26, 2011",61,7.6
690,PRhyme 2,by PRhyme,"March 16, 2018",74,7.6
691,7 Days of Funk,by 7 Days of Funk,"December 10, 2013",74,7.6
692,MartyrLoserKing,by Saul Williams,"January 29, 2016",78,7.6
693,PL3DGE,by Killer Mike,"May 17, 2011",75,7.6
694,When Fish Ride Bicycles,by The Cool Kids,"July 12, 2011",75,7.6
695,Violence Begets Violence,by Jedi Mind Tricks,"October 31, 2011",59,7.6
696,Fool,by Jameszoo,"May 13, 2016",80,7.6
697,Fireplace: TheNotTheOtherSide,by Hodgy,"December 23, 2016",69,7.6
698,From King to a God,by Conway the Machine,"September 11, 2020",82,7.6
699,Wooden Leather,by Nappy Roots,"August 26, 2003",79,7.6
700,Shock City Maverick,by Beans,"October 19, 2004",65,7.6
701,Fear Of A Black Tangent,by Busdriver,"February 22, 2005",78,7.6
702,Fallen House Sunken City,by B. Dolan,"March 2, 2010",81,7.6
703,Repent Replenish Repeat,by dan le sac Vs Scroobius Pip,"October 29, 2013",66,7.6
704,Encore,by Eminem,"November 12, 2004",64,7.5
705,4 Your Eyez Only,by J. Cole,"December 9, 2016",75,7.5
706,DS2,by Future,"July 17, 2015",80,7.5
707,Mr. Wonderful,by Action Bronson,"March 24, 2015",77,7.5
708,A Written Testimony,by Jay Electronica,"March 13, 2020",83,7.5
709,Free TC,by Ty Dolla $ign,"November 13, 2015",76,7.5
710,Fly Or Die,by N.E.R.D,"March 23, 2004",68,7.5
711,Deeper Than Rap,by Rick Ross,"April 21, 2009",73,7.5
712,The Healing Component,by Mick Jenkins,"September 23, 2016",79,7.5
713,The Autobiography,by Vic Mensa,"July 28, 2017",71,7.5
714,Dirty Gold,by Angel Haze,"December 30, 2013",66,7.5
715,Seen It All: The Autobiography,by Jeezy,"September 2, 2014",70,7.5
716,The  Chief,by Jidenna,"February 17, 2017",73,7.5
717,Kiss Of Death,by Jadakiss,"June 22, 2004",76,7.5
718,Anything but Words,by Banks & Steelz,"August 26, 2016",72,7.5
719,The Circus [EP],by Mick Jenkins,"January 10, 2020",78,7.5
720,Blue Chips 7000,by Action Bronson,"August 25, 2017",76,7.5
721,Tongue N' Cheek,by Dizzee Rascal,"September 21, 2009",75,7.5
722,Malpractice,by Redman,"May 22, 2001",59,7.5
723,Quazarz: Born on a Gangster Star,by Shabazz Palaces,"July 14, 2017",77,7.5
724,Black Dialogue,by The Perceptionists,"March 22, 2005",81,7.5
725,EarthEE,by THEESatisfaction,"February 24, 2015",79,7.5
726,Young Miss America,by Gold Chains,"June 3, 2003",72,7.5
727,MellowHigh,by MellowHigh,"October 31, 2013",65,7.5
728,4:44,by Jay-Z,"June 30, 2017",82,7.4
729,Testing,by A$AP Rocky,"May 25, 2018",67,7.4
730,Cannibal,by Ke$ha,"November 22, 2010",73,7.4
731,Double Dutchess,by Fergie,"September 22, 2017",53,7.4
732,C U L T U R E,by Migos,"January 27, 2017",79,7.4
733,FWA (Free Weezy Album),by Lil Wayne,"July 4, 2015",61,7.4
734,Jesus Piece,by Game,"December 11, 2012",66,7.4
735,Gang Signs & Prayer,by Stormzy,"February 24, 2017",82,7.4
736,The Naked Truth,by Lil' Kim,"September 27, 2005",66,7.4
737,The  Dreamer/The Believer,by Common,"December 20, 2011",74,7.4
738,Tha Blue Carpet Treatment,by Snoop Dogg,"November 21, 2006",70,7.4
739,The Mix-Up,by Beastie Boys,"June 26, 2007",61,7.4
740,Collegrove,by 2 Chainz,"March 4, 2016",66,7.4
741,Ego Trippin',by Snoop Dogg,"March 11, 2008",71,7.4
742,High Off Life,by Future,"May 15, 2020",70,7.4
743,Elephants on Acid,by Cypress Hill,"September 28, 2018",75,7.4
744,Weapons Of Mass Destruction,by Xzibit,"December 14, 2004",57,7.4
745,Young Adults Against Suicide,by Ninja High School,"October 18, 2005",59,7.4
746,Event II,by Deltron 3030,"September 30, 2013",74,7.4
747,New Toronto 3 [Mixtape],by Tory Lanez,"April 10, 2020",79,7.4
748,The Return Of Dr. Octagon,by Dr. Octagon,"June 27, 2006",61,7.4
